series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	pc	pc_tissue_control	or	pc_control	sample_class
437	10	18274	GSM296760	GPL4133	GSE11682	pc				1
437	10	18275	GSM296761	GPL4133	GSE11682	pc				1
437	10	18276	GSM296762	GPL4133	GSE11682	pc				1
437	10	18277	GSM296763	GPL4133	GSE11682	pc				1
437	10	18278	GSM296764	GPL4133	GSE11682	pc				1
437	10	18279	GSM296765	GPL4133	GSE11682	pc				1
437	10	18280	GSM296766	GPL4133	GSE11682	pc				1
437	10	18281	GSM296767	GPL4133	GSE11682	pc				1
437	10	18282	GSM296768	GPL4133	GSE11682	pc				1
437	10	18283	GSM296769	GPL4133	GSE11682	pc				1
437	10	18284	GSM296770	GPL4133	GSE11682	pc				1
437	10	18285	GSM296771	GPL4133	GSE11682	pc				1
437	10	18286	GSM296772	GPL4133	GSE11682	pc				1
437	10	18287	GSM296773	GPL4133	GSE11682	pc				1
437	10	18288	GSM296774	GPL4133	GSE11682	pc				1
437	10	18289	GSM296775	GPL4133	GSE11682	pc				1
437	10	18290	GSM296776	GPL4133	GSE11682	pc				1
437	10	18291	GSM296777	GPL4133	GSE11682				pc_control	0
437	10	18292	GSM296778	GPL4133	GSE11682				pc_control	0
437	10	18293	GSM296779	GPL4133	GSE11682				pc_control	0
437	10	18294	GSM296780	GPL4133	GSE11682				pc_control	0
437	10	18295	GSM296781	GPL4133	GSE11682				pc_control	0
437	10	18296	GSM296782	GPL4133	GSE11682				pc_control	0
437	10	18297	GSM296783	GPL4133	GSE11682				pc_control	0
437	10	18298	GSM296784	GPL4133	GSE11682				pc_control	0
437	10	18299	GSM296785	GPL4133	GSE11682				pc_control	0
437	10	18300	GSM296786	GPL4133	GSE11682				pc_control	0
437	10	18301	GSM296787	GPL4133	GSE11682				pc_control	0
437	10	18302	GSM296788	GPL4133	GSE11682				pc_control	0
437	10	18303	GSM296789	GPL4133	GSE11682				pc_control	0
437	10	18304	GSM296790	GPL4133	GSE11682				pc_control	0
437	10	18305	GSM296791	GPL4133	GSE11682				pc_control	0
437	10	18306	GSM296792	GPL4133	GSE11682				pc_control	0
437	10	18307	GSM296793	GPL4133	GSE11682				pc_control	0
5362	10	217976	GSM767943	GPL4133	GSE30994				pc_control	0
5362	10	217977	GSM767944	GPL4133	GSE30994				pc_control	0
5362	10	217978	GSM767945	GPL4133	GSE30994				pc_control	0
5362	10	217979	GSM767946	GPL4133	GSE30994	pc				1
5362	10	217980	GSM767947	GPL4133	GSE30994	pc				1
5362	10	217981	GSM767948	GPL4133	GSE30994	pc				1
13217	1787	517973	GSM1534793	GPL19370	GSE62872	pc				1
13217	1787	517981	GSM1534794	GPL19370	GSE62872	pc				1
13217	1787	517986	GSM1534795	GPL19370	GSE62872	pc				1
13217	1787	517990	GSM1534796	GPL19370	GSE62872	pc				1
13217	1787	517997	GSM1534797	GPL19370	GSE62872	pc				1
13217	1787	518003	GSM1534798	GPL19370	GSE62872	pc				1
13217	1787	518011	GSM1534799	GPL19370	GSE62872	pc				1
13217	1787	518017	GSM1534800	GPL19370	GSE62872	pc				1
13217	1787	518021	GSM1534801	GPL19370	GSE62872	pc				1
13217	1787	518025	GSM1534802	GPL19370	GSE62872	pc				1
13217	1787	518029	GSM1534803	GPL19370	GSE62872	pc				1
13217	1787	518032	GSM1534804	GPL19370	GSE62872	pc				1
13217	1787	518035	GSM1534805	GPL19370	GSE62872	pc				1
13217	1787	518038	GSM1534806	GPL19370	GSE62872	pc				1
13217	1787	518041	GSM1534807	GPL19370	GSE62872	pc				1
13217	1787	518044	GSM1534808	GPL19370	GSE62872	pc				1
13217	1787	518047	GSM1534809	GPL19370	GSE62872	pc				1
