series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	ad_control	ad	sample_class
5836	297	235816	GSM1423780	GPL4372	GSE33000		ad	1
5836	297	235817	GSM1423781	GPL4372	GSE33000		ad	1
5836	297	235818	GSM1423782	GPL4372	GSE33000		ad	1
5836	297	235819	GSM1423783	GPL4372	GSE33000		ad	1
5836	297	235820	GSM1423784	GPL4372	GSE33000		ad	1
5836	297	235821	GSM1423785	GPL4372	GSE33000		ad	1
5836	297	235822	GSM1423786	GPL4372	GSE33000		ad	1
5836	297	235823	GSM1423787	GPL4372	GSE33000		ad	1
5836	297	235824	GSM1423788	GPL4372	GSE33000		ad	1
5836	297	235825	GSM1423789	GPL4372	GSE33000		ad	1
5836	297	235826	GSM1423790	GPL4372	GSE33000		ad	1
5836	297	235827	GSM1423791	GPL4372	GSE33000		ad	1
5836	297	235828	GSM1423792	GPL4372	GSE33000		ad	1
5836	297	235829	GSM1423793	GPL4372	GSE33000		ad	1
5836	297	235830	GSM1423794	GPL4372	GSE33000		ad	1
5836	297	235831	GSM1423795	GPL4372	GSE33000		ad	1
5836	297	235832	GSM1423796	GPL4372	GSE33000		ad	1
5836	297	235833	GSM1423797	GPL4372	GSE33000		ad	1
5836	297	235834	GSM1423798	GPL4372	GSE33000		ad	1
5836	297	235835	GSM1423799	GPL4372	GSE33000		ad	1
5836	297	235836	GSM1423800	GPL4372	GSE33000		ad	1
5836	297	235837	GSM1423801	GPL4372	GSE33000		ad	1
5836	297	235838	GSM1423802	GPL4372	GSE33000		ad	1
5836	297	235839	GSM1423803	GPL4372	GSE33000		ad	1
5836	297	235840	GSM1423804	GPL4372	GSE33000		ad	1
5836	297	235841	GSM1423805	GPL4372	GSE33000		ad	1
5836	297	235842	GSM1423806	GPL4372	GSE33000		ad	1
5836	297	235843	GSM1423807	GPL4372	GSE33000		ad	1
5836	297	235844	GSM1423808	GPL4372	GSE33000		ad	1
5836	297	235845	GSM1423809	GPL4372	GSE33000		ad	1
5836	297	235846	GSM1423810	GPL4372	GSE33000		ad	1
5836	297	235847	GSM1423811	GPL4372	GSE33000		ad	1
5836	297	235848	GSM1423812	GPL4372	GSE33000		ad	1
5836	297	235849	GSM1423813	GPL4372	GSE33000		ad	1
5836	297	235850	GSM1423814	GPL4372	GSE33000		ad	1
5836	297	235851	GSM1423815	GPL4372	GSE33000		ad	1
5836	297	235852	GSM1423816	GPL4372	GSE33000		ad	1
5836	297	235853	GSM1423817	GPL4372	GSE33000		ad	1
5836	297	235854	GSM1423818	GPL4372	GSE33000		ad	1
5836	297	235855	GSM1423819	GPL4372	GSE33000		ad	1
5836	297	235856	GSM1423820	GPL4372	GSE33000		ad	1
5836	297	235857	GSM1423821	GPL4372	GSE33000		ad	1
5836	297	235858	GSM1423822	GPL4372	GSE33000		ad	1
5836	297	235859	GSM1423823	GPL4372	GSE33000		ad	1
5836	297	235860	GSM1423824	GPL4372	GSE33000		ad	1
5836	297	235861	GSM1423825	GPL4372	GSE33000		ad	1
5836	297	235862	GSM1423826	GPL4372	GSE33000		ad	1
5836	297	235863	GSM1423827	GPL4372	GSE33000		ad	1
5836	297	235864	GSM1423828	GPL4372	GSE33000		ad	1
5836	297	235865	GSM1423829	GPL4372	GSE33000		ad	1
5836	297	235866	GSM1423830	GPL4372	GSE33000		ad	1
5836	297	235867	GSM1423831	GPL4372	GSE33000		ad	1
5836	297	235868	GSM1423832	GPL4372	GSE33000		ad	1
5836	297	235869	GSM1423833	GPL4372	GSE33000		ad	1
5836	297	235870	GSM1423834	GPL4372	GSE33000		ad	1
5836	297	235871	GSM1423835	GPL4372	GSE33000		ad	1
5836	297	235872	GSM1423836	GPL4372	GSE33000		ad	1
5836	297	235873	GSM1423837	GPL4372	GSE33000		ad	1
5836	297	235874	GSM1423838	GPL4372	GSE33000		ad	1
5836	297	235875	GSM1423839	GPL4372	GSE33000		ad	1
5836	297	235876	GSM1423840	GPL4372	GSE33000		ad	1
5836	297	235877	GSM1423841	GPL4372	GSE33000		ad	1
5836	297	235878	GSM1423842	GPL4372	GSE33000		ad	1
5836	297	235879	GSM1423843	GPL4372	GSE33000		ad	1
5836	297	235880	GSM1423844	GPL4372	GSE33000		ad	1
5836	297	235881	GSM1423845	GPL4372	GSE33000		ad	1
5836	297	235882	GSM1423846	GPL4372	GSE33000		ad	1
5836	297	235883	GSM1423847	GPL4372	GSE33000		ad	1
5836	297	235884	GSM1423848	GPL4372	GSE33000		ad	1
5836	297	235885	GSM1423849	GPL4372	GSE33000		ad	1
5836	297	235886	GSM1423850	GPL4372	GSE33000		ad	1
5836	297	235887	GSM1423851	GPL4372	GSE33000		ad	1
5836	297	235888	GSM1423852	GPL4372	GSE33000		ad	1
5836	297	235889	GSM1423853	GPL4372	GSE33000		ad	1
5836	297	235890	GSM1423854	GPL4372	GSE33000		ad	1
5836	297	235891	GSM1423855	GPL4372	GSE33000		ad	1
5836	297	235892	GSM1423856	GPL4372	GSE33000		ad	1
5836	297	235893	GSM1423857	GPL4372	GSE33000		ad	1
5836	297	235894	GSM1423858	GPL4372	GSE33000		ad	1
5836	297	235895	GSM1423859	GPL4372	GSE33000		ad	1
5836	297	235896	GSM1423860	GPL4372	GSE33000		ad	1
5836	297	235897	GSM1423861	GPL4372	GSE33000		ad	1
5836	297	235898	GSM1423862	GPL4372	GSE33000		ad	1
5836	297	235899	GSM1423863	GPL4372	GSE33000		ad	1
5836	297	235900	GSM1423864	GPL4372	GSE33000		ad	1
5836	297	235901	GSM1423865	GPL4372	GSE33000		ad	1
5836	297	235902	GSM1423866	GPL4372	GSE33000		ad	1
5836	297	235903	GSM1423867	GPL4372	GSE33000		ad	1
5836	297	235904	GSM1423868	GPL4372	GSE33000		ad	1
5836	297	235905	GSM1423869	GPL4372	GSE33000		ad	1
5836	297	235906	GSM1423870	GPL4372	GSE33000		ad	1
5836	297	235907	GSM1423871	GPL4372	GSE33000		ad	1
5836	297	235908	GSM1423872	GPL4372	GSE33000		ad	1
5836	297	235909	GSM1423873	GPL4372	GSE33000		ad	1
5836	297	235910	GSM1423874	GPL4372	GSE33000		ad	1
5836	297	235911	GSM1423875	GPL4372	GSE33000		ad	1
5836	297	235912	GSM1423876	GPL4372	GSE33000		ad	1
5836	297	235913	GSM1423877	GPL4372	GSE33000		ad	1
5836	297	235914	GSM1423878	GPL4372	GSE33000		ad	1
5836	297	235915	GSM1423879	GPL4372	GSE33000		ad	1
5836	297	235916	GSM1423880	GPL4372	GSE33000		ad	1
5836	297	235917	GSM1423881	GPL4372	GSE33000		ad	1
5836	297	235918	GSM1423882	GPL4372	GSE33000		ad	1
5836	297	235919	GSM1423883	GPL4372	GSE33000		ad	1
5836	297	235920	GSM1423884	GPL4372	GSE33000		ad	1
5836	297	235921	GSM1423885	GPL4372	GSE33000		ad	1
5836	297	235922	GSM1423886	GPL4372	GSE33000		ad	1
5836	297	235923	GSM1423887	GPL4372	GSE33000		ad	1
5836	297	235924	GSM1423888	GPL4372	GSE33000		ad	1
5836	297	235925	GSM1423889	GPL4372	GSE33000		ad	1
5836	297	235926	GSM1423890	GPL4372	GSE33000		ad	1
5836	297	235927	GSM1423891	GPL4372	GSE33000		ad	1
5836	297	235928	GSM1423892	GPL4372	GSE33000		ad	1
5836	297	235929	GSM1423893	GPL4372	GSE33000		ad	1
5836	297	235930	GSM1423894	GPL4372	GSE33000		ad	1
5836	297	235931	GSM1423895	GPL4372	GSE33000		ad	1
5836	297	235932	GSM1423896	GPL4372	GSE33000		ad	1
5836	297	235933	GSM1423897	GPL4372	GSE33000		ad	1
5836	297	235934	GSM1423898	GPL4372	GSE33000		ad	1
5836	297	235935	GSM1423899	GPL4372	GSE33000		ad	1
5836	297	235936	GSM1423900	GPL4372	GSE33000		ad	1
5836	297	235937	GSM1423901	GPL4372	GSE33000		ad	1
5836	297	235938	GSM1423902	GPL4372	GSE33000		ad	1
5836	297	235939	GSM1423903	GPL4372	GSE33000		ad	1
5836	297	235940	GSM1423904	GPL4372	GSE33000		ad	1
5836	297	235941	GSM1423905	GPL4372	GSE33000		ad	1
5836	297	235942	GSM1423906	GPL4372	GSE33000		ad	1
5836	297	235943	GSM1423907	GPL4372	GSE33000		ad	1
5836	297	235944	GSM1423908	GPL4372	GSE33000		ad	1
5836	297	235945	GSM1423909	GPL4372	GSE33000		ad	1
5836	297	235946	GSM1423910	GPL4372	GSE33000		ad	1
5836	297	235947	GSM1423911	GPL4372	GSE33000		ad	1
5836	297	235948	GSM1423912	GPL4372	GSE33000		ad	1
5836	297	235949	GSM1423913	GPL4372	GSE33000		ad	1
5836	297	235950	GSM1423914	GPL4372	GSE33000		ad	1
5836	297	235951	GSM1423915	GPL4372	GSE33000		ad	1
5836	297	235952	GSM1423916	GPL4372	GSE33000		ad	1
5836	297	235953	GSM1423917	GPL4372	GSE33000		ad	1
5836	297	235954	GSM1423918	GPL4372	GSE33000		ad	1
5836	297	235955	GSM1423919	GPL4372	GSE33000		ad	1
