series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	celiac_control	celiac	sample_class
397	3	16206	GSM289543	GPL6104	GSE11501		celiac	1
397	3	16207	GSM289544	GPL6104	GSE11501		celiac	1
397	3	16208	GSM289545	GPL6104	GSE11501		celiac	1
397	3	16209	GSM289546	GPL6104	GSE11501		celiac	1
397	3	16210	GSM289547	GPL6104	GSE11501		celiac	1
397	3	16211	GSM289548	GPL6104	GSE11501		celiac	1
397	3	16212	GSM289549	GPL6104	GSE11501		celiac	1
397	3	16213	GSM289550	GPL6104	GSE11501		celiac	1
397	3	16214	GSM289551	GPL6104	GSE11501		celiac	1
397	3	16215	GSM289552	GPL6104	GSE11501		celiac	1
397	3	16216	GSM289553	GPL6104	GSE11501		celiac	1
397	3	16217	GSM289554	GPL6104	GSE11501		celiac	1
397	3	16218	GSM289555	GPL6104	GSE11501		celiac	1
397	3	16219	GSM289556	GPL6104	GSE11501		celiac	1
397	3	16220	GSM289557	GPL6104	GSE11501		celiac	1
397	3	16221	GSM289558	GPL6104	GSE11501		celiac	1
397	3	16222	GSM289559	GPL6104	GSE11501		celiac	1
397	3	16223	GSM289560	GPL6104	GSE11501		celiac	1
397	3	16224	GSM289561	GPL6104	GSE11501		celiac	1
397	3	16225	GSM289562	GPL6104	GSE11501		celiac	1
397	3	16226	GSM289563	GPL6104	GSE11501		celiac	1
397	3	16227	GSM289564	GPL6104	GSE11501		celiac	1
397	3	16228	GSM289565	GPL6104	GSE11501		celiac	1
397	3	16229	GSM289566	GPL6104	GSE11501		celiac	1
397	3	16230	GSM289567	GPL6104	GSE11501		celiac	1
397	3	16231	GSM289568	GPL6104	GSE11501		celiac	1
397	3	16232	GSM289569	GPL6104	GSE11501		celiac	1
397	3	16233	GSM289570	GPL6104	GSE11501		celiac	1
397	3	16234	GSM289571	GPL6104	GSE11501		celiac	1
397	3	16235	GSM289572	GPL6104	GSE11501		celiac	1
397	3	16236	GSM289573	GPL6104	GSE11501		celiac	1
397	3	16237	GSM289574	GPL6104	GSE11501		celiac	1
397	3	16238	GSM289575	GPL6104	GSE11501		celiac	1
397	3	16239	GSM289576	GPL6104	GSE11501		celiac	1
397	3	16240	GSM289577	GPL6104	GSE11501		celiac	1
397	3	16241	GSM289578	GPL6104	GSE11501		celiac	1
397	3	16242	GSM289579	GPL6104	GSE11501		celiac	1
397	3	16243	GSM289580	GPL6104	GSE11501	celiac_control		0
397	3	16244	GSM289581	GPL6104	GSE11501	celiac_control		0
397	3	16245	GSM289582	GPL6104	GSE11501	celiac_control		0
397	3	16246	GSM289583	GPL6104	GSE11501	celiac_control		0
397	3	16247	GSM289584	GPL6104	GSE11501	celiac_control		0
397	3	16248	GSM289585	GPL6104	GSE11501	celiac_control		0
397	3	16249	GSM289586	GPL6104	GSE11501	celiac_control		0
397	3	16250	GSM289587	GPL6104	GSE11501	celiac_control		0
397	3	16251	GSM289588	GPL6104	GSE11501	celiac_control		0
397	3	16252	GSM289589	GPL6104	GSE11501	celiac_control		0
397	3	16253	GSM289590	GPL6104	GSE11501	celiac_control		0
397	3	16254	GSM289591	GPL6104	GSE11501	celiac_control		0
397	3	16255	GSM289592	GPL6104	GSE11501	celiac_control		0
397	3	16256	GSM289593	GPL6104	GSE11501	celiac_control		0
397	3	16257	GSM289594	GPL6104	GSE11501	celiac_control		0
397	3	16258	GSM289595	GPL6104	GSE11501	celiac_control		0
397	3	16259	GSM289596	GPL6104	GSE11501	celiac_control		0
397	3	16260	GSM289597	GPL6104	GSE11501	celiac_control		0
397	3	16261	GSM289598	GPL6104	GSE11501	celiac_control		0
397	3	16262	GSM289599	GPL6104	GSE11501	celiac_control		0
397	3	16263	GSM289600	GPL6104	GSE11501	celiac_control		0
397	3	16264	GSM289601	GPL6104	GSE11501	celiac_control		0
