series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	celiac_control	celiac	sample_class
397	3	16133	GSM289470	GPL6104	GSE11501		celiac	1
397	3	16134	GSM289471	GPL6104	GSE11501		celiac	1
397	3	16135	GSM289472	GPL6104	GSE11501		celiac	1
397	3	16136	GSM289473	GPL6104	GSE11501		celiac	1
397	3	16137	GSM289474	GPL6104	GSE11501		celiac	1
397	3	16138	GSM289475	GPL6104	GSE11501		celiac	1
397	3	16139	GSM289476	GPL6104	GSE11501		celiac	1
397	3	16140	GSM289477	GPL6104	GSE11501		celiac	1
397	3	16141	GSM289478	GPL6104	GSE11501		celiac	1
397	3	16142	GSM289479	GPL6104	GSE11501		celiac	1
397	3	16143	GSM289480	GPL6104	GSE11501		celiac	1
397	3	16144	GSM289481	GPL6104	GSE11501		celiac	1
397	3	16145	GSM289482	GPL6104	GSE11501		celiac	1
397	3	16146	GSM289483	GPL6104	GSE11501		celiac	1
397	3	16147	GSM289484	GPL6104	GSE11501		celiac	1
397	3	16148	GSM289485	GPL6104	GSE11501		celiac	1
397	3	16149	GSM289486	GPL6104	GSE11501		celiac	1
397	3	16150	GSM289487	GPL6104	GSE11501		celiac	1
397	3	16151	GSM289488	GPL6104	GSE11501		celiac	1
397	3	16152	GSM289489	GPL6104	GSE11501		celiac	1
397	3	16153	GSM289490	GPL6104	GSE11501		celiac	1
397	3	16154	GSM289491	GPL6104	GSE11501		celiac	1
397	3	16155	GSM289492	GPL6104	GSE11501		celiac	1
397	3	16156	GSM289493	GPL6104	GSE11501		celiac	1
397	3	16157	GSM289494	GPL6104	GSE11501		celiac	1
397	3	16158	GSM289495	GPL6104	GSE11501		celiac	1
397	3	16159	GSM289496	GPL6104	GSE11501		celiac	1
397	3	16160	GSM289497	GPL6104	GSE11501		celiac	1
397	3	16161	GSM289498	GPL6104	GSE11501		celiac	1
397	3	16162	GSM289499	GPL6104	GSE11501		celiac	1
397	3	16163	GSM289500	GPL6104	GSE11501		celiac	1
397	3	16164	GSM289501	GPL6104	GSE11501		celiac	1
397	3	16165	GSM289502	GPL6104	GSE11501		celiac	1
397	3	16166	GSM289503	GPL6104	GSE11501		celiac	1
397	3	16167	GSM289504	GPL6104	GSE11501		celiac	1
397	3	16168	GSM289505	GPL6104	GSE11501		celiac	1
