series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	smoker_control	smoker	sample_class
4	4	53	GSM252799	GPL570	GSE10006	smoker_control		0
4	4	54	GSM252800	GPL570	GSE10006	smoker_control		0
4	4	55	GSM252801	GPL570	GSE10006	smoker_control		0
4	4	56	GSM252802	GPL570	GSE10006	smoker_control		0
4	4	57	GSM252803	GPL570	GSE10006	smoker_control		0
4	4	58	GSM252804	GPL570	GSE10006	smoker_control		0
4	4	59	GSM252805	GPL570	GSE10006	smoker_control		0
4	4	60	GSM252806	GPL570	GSE10006	smoker_control		0
4	4	61	GSM252807	GPL570	GSE10006	smoker_control		0
4	4	62	GSM252808	GPL570	GSE10006		smoker	1
4	4	63	GSM252809	GPL570	GSE10006		smoker	1
4	4	64	GSM252810	GPL570	GSE10006		smoker	1
4	4	65	GSM252811	GPL570	GSE10006		smoker	1
4	4	66	GSM252812	GPL570	GSE10006		smoker	1
4	4	67	GSM252813	GPL570	GSE10006		smoker	1
4	4	68	GSM252814	GPL570	GSE10006		smoker	1
4	4	69	GSM252815	GPL570	GSE10006		smoker	1
4	4	70	GSM252816	GPL570	GSE10006		smoker	1
4	4	71	GSM252817	GPL570	GSE10006		smoker	1
4	4	72	GSM252818	GPL570	GSE10006		smoker	1
4	4	73	GSM252819	GPL570	GSE10006		smoker	1
4	4	74	GSM252820	GPL570	GSE10006		smoker	1
4	4	75	GSM252821	GPL570	GSE10006		smoker	1
4	4	76	GSM252822	GPL570	GSE10006		smoker	1
4	4	77	GSM252823	GPL570	GSE10006		smoker	1
4	4	78	GSM252824	GPL570	GSE10006		smoker	1
4	4	79	GSM252825	GPL570	GSE10006		smoker	1
4	4	80	GSM252826	GPL570	GSE10006		smoker	1
4	4	81	GSM252827	GPL570	GSE10006		smoker	1
4	4	82	GSM252828	GPL570	GSE10006		smoker	1
4	4	83	GSM252829	GPL570	GSE10006		smoker	1
4	4	84	GSM252830	GPL570	GSE10006		smoker	1
4	4	85	GSM252831	GPL570	GSE10006		smoker	1
4	4	86	GSM252832	GPL570	GSE10006		smoker	1
4	4	87	GSM252833	GPL570	GSE10006		smoker	1
4	4	88	GSM252834	GPL570	GSE10006		smoker	1
4	4	89	GSM252835	GPL570	GSE10006		smoker	1
4	4	90	GSM252836	GPL570	GSE10006		smoker	1
4	4	91	GSM252837	GPL570	GSE10006		smoker	1
4	4	92	GSM252838	GPL570	GSE10006		smoker	1
4	4	93	GSM252839	GPL570	GSE10006		smoker	1
4	4	94	GSM252840	GPL570	GSE10006		smoker	1
4	4	95	GSM252841	GPL570	GSE10006		smoker	1
4	4	96	GSM252842	GPL570	GSE10006		smoker	1
4	4	97	GSM252843	GPL570	GSE10006		smoker	1
4	4	98	GSM252844	GPL570	GSE10006		smoker	1
4	4	99	GSM252845	GPL570	GSE10006		smoker	1
4	4	100	GSM252846	GPL570	GSE10006		smoker	1
4	4	101	GSM252847	GPL570	GSE10006		smoker	1
4	4	102	GSM252848	GPL570	GSE10006		smoker	1
4	4	103	GSM252849	GPL570	GSE10006		smoker	1
4	4	104	GSM252850	GPL570	GSE10006		smoker	1
4	4	105	GSM252851	GPL570	GSE10006		smoker	1
4	4	106	GSM252852	GPL570	GSE10006		smoker	1
4	4	107	GSM252853	GPL570	GSE10006		smoker	1
4	4	108	GSM252854	GPL570	GSE10006		smoker	1
4	4	109	GSM252855	GPL570	GSE10006	smoker_control		0
4	4	110	GSM252856	GPL570	GSE10006	smoker_control		0
4	4	111	GSM252857	GPL570	GSE10006	smoker_control		0
4	4	112	GSM252858	GPL570	GSE10006	smoker_control		0
4	4	113	GSM252859	GPL570	GSE10006	smoker_control		0
4	4	114	GSM252860	GPL570	GSE10006	smoker_control		0
4	4	115	GSM252861	GPL570	GSE10006	smoker_control		0
4	4	116	GSM252862	GPL570	GSE10006	smoker_control		0
4	4	117	GSM252863	GPL570	GSE10006	smoker_control		0
4	4	118	GSM252864	GPL570	GSE10006	smoker_control		0
4	4	119	GSM252865	GPL570	GSE10006	smoker_control		0
4	4	120	GSM252866	GPL570	GSE10006	smoker_control		0
4	4	121	GSM252867	GPL570	GSE10006	smoker_control		0
4	4	122	GSM252868	GPL570	GSE10006		smoker	1
4	4	123	GSM252869	GPL570	GSE10006		smoker	1
4	4	124	GSM252870	GPL570	GSE10006		smoker	1
4	4	125	GSM252871	GPL570	GSE10006		smoker	1
4	4	126	GSM252872	GPL570	GSE10006		smoker	1
4	4	127	GSM252873	GPL570	GSE10006		smoker	1
4	4	128	GSM252874	GPL570	GSE10006		smoker	1
4	4	129	GSM252875	GPL570	GSE10006		smoker	1
4	4	130	GSM252876	GPL570	GSE10006		smoker	1
4	4	131	GSM252877	GPL570	GSE10006		smoker	1
4	4	132	GSM252878	GPL570	GSE10006		smoker	1
4	4	133	GSM252879	GPL570	GSE10006		smoker	1
4	4	134	GSM252880	GPL570	GSE10006		smoker	1
4	4	135	GSM252881	GPL570	GSE10006		smoker	1
4	4	136	GSM252882	GPL570	GSE10006		smoker	1
4	4	137	GSM252883	GPL570	GSE10006		smoker	1
4	4	138	GSM252884	GPL570	GSE10006		smoker	1
4	4	139	GSM252885	GPL570	GSE10006		smoker	1
450	4	18538	GSM101096	GPL570	GSE11784	smoker_control		0
450	4	18539	GSM101097	GPL570	GSE11784	smoker_control		0
450	4	18540	GSM101098	GPL570	GSE11784	smoker_control		0
450	4	18541	GSM101100	GPL570	GSE11784	smoker_control		0
450	4	18542	GSM101101	GPL570	GSE11784	smoker_control		0
450	4	18543	GSM101102	GPL570	GSE11784	smoker_control		0
450	4	18544	GSM101103	GPL570	GSE11784	smoker_control		0
450	4	18545	GSM101104	GPL570	GSE11784	smoker_control		0
