series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	sle	sle_control	sample_class
488	2	21117	GSM300971	GPL96	GSE11907	sle		1
488	2	21118	GSM300972	GPL96	GSE11907	sle		1
488	2	21119	GSM300973	GPL96	GSE11907	sle		1
488	2	21120	GSM300974	GPL96	GSE11907	sle		1
488	2	21121	GSM300975	GPL96	GSE11907	sle		1
488	2	21122	GSM300976	GPL96	GSE11907	sle		1
488	2	21123	GSM300978	GPL96	GSE11907	sle		1
488	2	21124	GSM300979	GPL96	GSE11907	sle		1
488	2	21125	GSM300980	GPL96	GSE11907	sle		1
488	2	21126	GSM300982	GPL96	GSE11907	sle		1
488	2	21127	GSM300983	GPL96	GSE11907	sle		1
488	2	21128	GSM300984	GPL96	GSE11907	sle		1
488	2	21129	GSM300986	GPL96	GSE11907	sle		1
488	2	21130	GSM300988	GPL96	GSE11907	sle		1
488	2	21131	GSM300990	GPL96	GSE11907	sle		1
488	2	21132	GSM300991	GPL96	GSE11907	sle		1
488	2	21133	GSM300993	GPL96	GSE11907	sle		1
488	2	21134	GSM300994	GPL96	GSE11907	sle		1
488	2	21135	GSM300995	GPL96	GSE11907	sle		1
488	2	21136	GSM300996	GPL96	GSE11907	sle		1
488	2	21137	GSM300997	GPL96	GSE11907	sle		1
488	2	21138	GSM300999	GPL96	GSE11907	sle		1
488	2	21139	GSM301001	GPL96	GSE11907	sle		1
488	2	21140	GSM301003	GPL96	GSE11907	sle		1
488	2	21141	GSM301005	GPL96	GSE11907	sle		1
488	2	21142	GSM301007	GPL96	GSE11907	sle		1
488	2	21143	GSM301009	GPL96	GSE11907	sle		1
488	2	21144	GSM301011	GPL96	GSE11907	sle		1
488	2	21145	GSM301012	GPL96	GSE11907	sle		1
488	2	21146	GSM301013	GPL96	GSE11907	sle		1
488	2	21147	GSM301015	GPL96	GSE11907	sle		1
488	2	21148	GSM301017	GPL96	GSE11907	sle		1
488	2	21149	GSM301019	GPL96	GSE11907	sle		1
488	2	21150	GSM301021	GPL96	GSE11907	sle		1
488	2	21151	GSM301023	GPL96	GSE11907	sle		1
488	2	21152	GSM301025	GPL96	GSE11907	sle		1
488	2	21153	GSM301027	GPL96	GSE11907	sle		1
488	2	21154	GSM301029	GPL96	GSE11907	sle		1
488	2	21155	GSM301031	GPL96	GSE11907	sle		1
488	2	21156	GSM301033	GPL96	GSE11907	sle		1
488	2	21157	GSM301035	GPL96	GSE11907	sle		1
488	2	21158	GSM301036	GPL96	GSE11907	sle		1
488	2	21159	GSM301037	GPL96	GSE11907	sle		1
488	2	21160	GSM301038	GPL96	GSE11907	sle		1
488	2	21161	GSM301040	GPL96	GSE11907	sle		1
488	2	21162	GSM301041	GPL96	GSE11907	sle		1
488	2	21163	GSM301043	GPL96	GSE11907	sle		1
488	2	21164	GSM301044	GPL96	GSE11907	sle		1
488	2	21165	GSM301045	GPL96	GSE11907	sle		1
488	2	21166	GSM301047	GPL96	GSE11907	sle		1
488	2	21167	GSM301049	GPL96	GSE11907	sle		1
488	2	21168	GSM301051	GPL96	GSE11907	sle		1
488	2	21169	GSM301053	GPL96	GSE11907	sle		1
488	2	21170	GSM301055	GPL96	GSE11907	sle		1
488	2	21171	GSM301057	GPL96	GSE11907	sle		1
488	2	21172	GSM301058	GPL96	GSE11907	sle		1
488	2	21173	GSM301060	GPL96	GSE11907	sle		1
488	2	21174	GSM301061	GPL96	GSE11907	sle		1
488	2	21175	GSM301062	GPL96	GSE11907	sle		1
488	2	21176	GSM301064	GPL96	GSE11907	sle		1
488	2	21177	GSM301066	GPL96	GSE11907	sle		1
488	2	21178	GSM301068	GPL96	GSE11907	sle		1
488	2	21179	GSM301070	GPL96	GSE11907	sle		1
488	2	21180	GSM301071	GPL96	GSE11907	sle		1
488	2	21208	GSM301789	GPL96	GSE11907	sle		1
488	2	21209	GSM301791	GPL96	GSE11907	sle		1
488	2	21210	GSM301793	GPL96	GSE11907		sle_control	0
488	2	21211	GSM301794	GPL96	GSE11907		sle_control	0
488	2	21212	GSM301795	GPL96	GSE11907		sle_control	0
488	2	21213	GSM301796	GPL96	GSE11907		sle_control	0
488	2	21214	GSM301797	GPL96	GSE11907		sle_control	0
488	2	21215	GSM301798	GPL96	GSE11907		sle_control	0
488	2	21216	GSM301799	GPL96	GSE11907		sle_control	0
488	2	21217	GSM301800	GPL96	GSE11907		sle_control	0
488	2	21218	GSM301801	GPL96	GSE11907		sle_control	0
488	2	21219	GSM301802	GPL96	GSE11907		sle_control	0
488	2	21220	GSM301803	GPL96	GSE11907		sle_control	0
488	2	21221	GSM301804	GPL96	GSE11907		sle_control	0
488	2	21294	GSM301950	GPL96	GSE11907	sle		1
488	2	21295	GSM301952	GPL96	GSE11907	sle		1
488	2	21296	GSM301968	GPL96	GSE11907	sle		1
488	2	21334	GSM302045	GPL96	GSE11907	sle		1
488	2	21380	GSM302143	GPL96	GSE11907	sle		1
488	50	21382	GSM300917	GPL97	GSE11907	sle		1
488	50	21383	GSM300920	GPL97	GSE11907	sle		1
488	50	21384	GSM300923	GPL97	GSE11907	sle		1
488	50	21385	GSM300925	GPL97	GSE11907	sle		1
